"tweetid","userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language","tweet_language","tweet_text","tweet_time","tweet_client_name","in_reply_to_userid","in_reply_to_tweetid","quoted_tweet_tweetid","is_retweet","retweet_userid","retweet_tweetid","latitude","longitude","quote_count","reply_count","like_count","retweet_count","hashtags","urls","user_mentions","poll_choices"
"595389860111777792","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#muslimaretheproblem  #ObamasAmerica #ObamaHatesAmerica #WakeUpAmerica #IslamIsTheProblem #IAmPamelaGeller http://t.co/gRfYxLj9gR","2015-05-05 00:49","Twitter for iPhone","","","","false","","","absent","absent","0","0","3","4","['muslimaretheproblem', 'ObamasAmerica', 'ObamaHatesAmerica', 'WakeUpAmerica', 'IslamIsTheProblem', 'IAmPamelaGeller']","[]","[]",""
"739301002336047104","2980186012","Infidel II 🕋💣🕋💩","CathyTo47590555","USA  #IslamIsTheProbem #WakeUp","I believe that OUR COUNTRY needs to BAN ISLAM and #DeportALLMOSLEMS! Islam is pure evil! STANDUP, FIGHTBACK, SPEAKUP TAKE OUR COUNTRY BACK .. #INFIDELFORLIFE","","8654","1446","2015-01-15","en","und","#BanMuslimBrotherhood #BanMuslimsInAmerica #BanIslam #IslamisEvil #IslamIsTheProblem #WakeUpAmerica #WakeUpAmerica  https://t.co/MdsRsGbbIr","2016-06-05 03:41","Twitter for iPhone","","","712618435767734272","false","","","absent","absent","0","0","1","1","['BanMuslimBrotherhood', 'BanMuslimsInAmerica', 'BanIslam', 'IslamisEvil', 'IslamIsTheProblem', 'WakeUpAmerica', 'WakeUpAmerica']","['https://twitter.com/orangecosurf/status/712618435767734272']","[]",""
"634510495312121861","BvjubcGk4G262KMWaACQXzthHtl1mv+pnRHdLpTP+M=","BvjubcGk4G262KMWaACQXzthHtl1mv+pnRHdLpTP+M=","BvjubcGk4G262KMWaACQXzthHtl1mv+pnRHdLpTP+M=","New York, USA","Food specialist .professional","","60","69","2015-03-11","en","en","Hurt man, 70, survived week in woods by drinking rain water","2015-08-20 23:41","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634509206696148994","iH7Z0lyh1Of3oG5gfSkktma96sjOoJODoqjpcPsBx4=","iH7Z0lyh1Of3oG5gfSkktma96sjOoJODoqjpcPsBx4=","iH7Z0lyh1Of3oG5gfSkktma96sjOoJODoqjpcPsBx4=","New York, USA","Travel fan - ,  degree in - Web lover","","77","117","2015-03-11","en","en","It was a hell storm: Three Washington firefighters killed as flames engulf truck","2015-08-20 23:35","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634853409821171713","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","New York, USA","Observer who values solitude. Detached.","","83","230","2015-03-11","en","en","Mayor De Blasio for eliminating Times Square pedestrian plazas to kick out ...","2015-08-21 22:23","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"636343819320074240","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","New York, USA","Observer who values solitude. Detached.","","83","230","2015-03-11","en","en","Iran deal rejection may damage dollar, says US Kerry","2015-08-26 01:06","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"634854901080805376","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","uHxbtCU0XEJv2QkJjx4D+fxszbXHgcV664205g84q4=","New York, USA","Observer who values solitude. Detached.","","83","230","2015-03-11","en","en","New York Prison Escapee David Sweat Enters Not Guilty Plea","2015-08-21 22:29","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"820382233420701697","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","und","#RosieODonnellIsTrash #RosieThePig #DisgustingRosieODonnell #DeportRosie @Rosie https://t.co/Jpg5VFHZuh","2017-01-14 21:29","Twitter for Android","","","","false","","","absent","absent","0","0","0","0","['RosieODonnellIsTrash', 'RosieThePig', 'DisgustingRosieODonnell', 'DeportRosie']","[]","[25203361]",""
"923960199576031232","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","en","US Defense Secretary James Mattis at the Korean demilitarized zone: ""Our goal is not war"" https://t.co/p9W1KldwRm https://t.co/hnacr1IQty","2017-10-27 17:10","Twitter for Android","","","","false","","","absent","absent","0","0","0","0","[]","['http://cnn.it/2ya9ORR']","[]",""
"816401740148768768","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","und","LIE https://t.co/aBxn5Gev6l","2017-01-03 21:51","Twitter for Android","","","815917190494883840","false","","","absent","absent","0","0","0","0","[]","['https://twitter.com/bannerite/status/815917190494883840']","[]",""
"843160020866891776","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","und","🚨#BOYCOTTHawaii🚨
🚨#BOYCOTTMcDonalds🚨
🚨#BOYCOTTExpedia🚨
🚨#BOYCOTTHollywood🚨
🚨#TrumpTrain🚨
🚨#AmericaFirst🚨
🚨#MyLeastFavorite4Words🚨
🚨#MAGA🚨 https://t.co/4gclTZb28v","2017-03-18 17:59","Twitter for Android","","","","false","","","absent","absent","0","0","5","5","['BOYCOTTHawaii', 'BOYCOTTMcDonalds', 'BOYCOTTExpedia', 'BOYCOTTHollywood', 'TrumpTrain', 'AmericaFirst', 'MyLeastFavorite4Words', 'MAGA']","[]","[]",""
"856703109300498432","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","en","Was that the Beyoncé and Jay Z who was for open-borders and supported Crooked Hillary?  #Hypocrite https://t.co/HmCu3nvsEP","2017-04-25 02:55","Twitter for Android","","","856693683961331712","false","","","absent","absent","0","0","0","1","['Hypocrite']","['https://twitter.com/PageSix/status/856693683961331713']","[]",""
"801220339720036352","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","en","Who do you want for the next Secretary of @StateDept?","2016-11-23 00:26","Twitter for Android","","","","false","","","absent","absent","0","2","5","8","[]","[]","[9624742]",""
"840829099744534528","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","und","🚨#PeoplePower🚨
🔥#MAGA🔥
🔥#Vault7🔥
🔥#Democraps🔥
🔥#PreetBhararaFired🔥
🔥#RedNationRising🔥
🔥#ObamaGate🔥
🔥#PublicEnemy🔥
🔥#YoureFired🔥
🔥#Wiretap🔥 https://t.co/4vRsL232xp","2017-03-12 07:37","Twitter for Android","","","","false","","","absent","absent","0","1","2","2","['PeoplePower', 'MAGA', 'Vault7', 'Democraps', 'PreetBhararaFired', 'RedNationRising', 'ObamaGate', 'PublicEnemy', 'YoureFired', 'Wiretap']","[]","[]",""
"812388023539089408","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","ro","Liberalism is very UNCONSTITUTIONAL!
@TheDemocRATS
https://t.co/X45nj17AOP","2016-12-23 20:02","Twitter for Android","","","812387480314019840","false","","","absent","absent","0","0","0","0","[]","['https://twitter.com/Crw0430/status/812387480314019840']","[14377605]",""
"937021506348990464","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","iZ328VglWrG25qPym1bifLoiwXD9v1+A3G4WU5AThso=","United States","No more #HappyHolidays shit!!!
It's #MerryChristmas!!!!!
#BuildTheWall #DrainTheSwamp #MAGA🇺🇸 @realDonaldTrump","https://t.co/XFnhCqCWBy","2718","264","2016-06-15","en","en","Biggest Tax Bill and Tax Cuts in history just passed in the Senate. Now these great Republicans will be going for final passage. Thank you to House and Senate Republicans for your hard work and commitment! https://t.co/jXdE8kjtZm","2017-12-02 18:11","Twitter for Android","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
"633476797150154752","5iw5a8wh3389BcZXAvnNZil+sAI1bFHnRzEHMgyEHc=","5iw5a8wh3389BcZXAvnNZil+sAI1bFHnRzEHMgyEHc=","5iw5a8wh3389BcZXAvnNZil+sAI1bFHnRzEHMgyEHc=","New York, USA","My story unkie","","86","172","2015-03-10","en","en","Next Gear VR coming soon with surprise price point  Samsung","2015-08-18 03:13","Twitter Web Client","","","","false","","","absent","absent","0","0","0","0","[]","[]","[]",""
